partida_id,temporada,rodada,data,horario,clube_mandante,clube_mandante_slug,clube_visitante,clube_visitante_slug,gols_mandante,gols_visitante,total_gols,saldo_mandante,resultado,vencedor,arena,mandante_uf,visitante_uf,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
153,2003,13,2003-06-15,16:00,Criciuma,criciuma,Figueirense,figueirense,1,0,1,1,Vitoria Mandante,Criciuma, Heriberto Hulse,SC,SC,,,,
154,2003,13,2003-06-15,16:00,Bahia,bahia,Vitoria,vitoria,2,1,3,1,Vitoria Mandante,Bahia, Fonte Nova,BA,BA,,,,
155,2003,13,2003-06-15,18:00,Vasco,vasco,Flamengo,flamengo,1,2,3,-1,Vitoria Visitante,Flamengo, Maracanã,RJ,RJ,,,,
156,2003,13,2003-06-15,18:00,Cruzeiro,cruzeiro,Atletico-MG,atletico_mg,0,0,0,0,Empate,-, Mineirão,MG,MG,,,,
157,2003,14,2003-06-19,16:00,Bahia,bahia,Coritiba,coritiba,2,2,4,0,Empate,-, Fonte Nova,BA,PR,,,,
158,2003,14,2003-06-21,16:00,Vasco,vasco,Criciuma,criciuma,2,0,2,2,Vitoria Mandante,Vasco, São Januário,RJ,SC,,,,
159,2003,14,2003-06-21,16:00,Atletico-MG,atletico_mg,Gremio,gremio,3,2,5,1,Vitoria Mandante,Atletico-MG, Mineirão,MG,RS,,,,
160,2003,14,2003-06-21,16:00,Internacional,internacional,Parana,parana,2,1,3,1,Vitoria Mandante,Internacional, Beira Rio,RS,PR,,,,
161,2003,14,2003-06-21,18:00,Sao Paulo,sao_paulo,Goias,goias,1,0,1,1,Vitoria Mandante,Sao Paulo, Morumbi,SP,GO,,,,
162,2003,14,2003-06-22,16:00,Paysandu,paysandu,Flamengo,flamengo,2,2,4,0,Empate,-, Mangueirão,PA,RJ,,,,
163,2003,14,2003-06-22,16:00,Ponte Preta,ponte_preta,Corinthians,corinthians,3,3,6,0,Empate,-, Moisés Lucarelli,SP,SP,,,,
164,2003,14,2003-06-22,16:00,Sao Caetano,sao_caetano,Vitoria,vitoria,2,1,3,1,Vitoria Mandante,Sao Caetano, Anacleto Campanella,SP,BA,,,,
165,2003,14,2003-06-22,16:00,Figueirense,figueirense,Fortaleza,fortaleza,2,2,4,0,Empate,-, Orlando Scarpelli,SC,CE,,,,
166,2003,14,2003-06-22,18:00,Juventude,juventude,Cruzeiro,cruzeiro,0,1,1,-1,Vitoria Visitante,Cruzeiro, Alfredo Jaconi,RS,MG,,,,
167,2003,14,2003-06-22,18:00,Fluminense,fluminense,Guarani,guarani,5,2,7,3,Vitoria Mandante,Fluminense, Maracanã,RJ,SP,,,,
168,2003,15,2003-06-28,16:00,Fortaleza,fortaleza,Vasco,vasco,0,1,1,-1,Vitoria Visitante,Vasco, Castelão,CE,RJ,,,,
169,2003,15,2003-06-28,16:00,Coritiba,coritiba,Sao Caetano,sao_caetano,2,0,2,2,Vitoria Mandante,Coritiba, Couto Pereira,PR,SP,,,,
