partida_id,temporada,serie,rodada,clube,clube_slug,momento,periodo,minuto_nominal,acrescimo,minuto_continuo,num_entrou,atleta_entrou,atleta_entrou_slug,num_saiu,atleta_saiu,atleta_saiu_slug
152,2026,A,16,Botafogo,botafogo,2T,2T,21,0,66,2,Victor Alexander da Silva,victor_alexander_da_silva,4,Mateo Ponte Costa,mateo_ponte_costa
152,2026,A,16,Botafogo,botafogo,2T,2T,28,0,73,88,Edenilson Andrade dos Santos,edenilson_andrade_dos_santos,77,Lucas Martín Villalba Jaume,lucas_martin_villalba_jaume
152,2026,A,16,Corinthians,corinthians,2T,2T,31,0,76,29,Allan Rodrigues de Souza,allan_rodrigues_de_souza,7,Breno de Souza Bidon,breno_de_souza_bidon
152,2026,A,16,Corinthians,corinthians,2T,2T,31,0,76,18,Pedro Raul Garay da Silva,pedro_raul_garay_da_silva,8,Rodrigo Garro,rodrigo_garro
152,2026,A,16,Corinthians,corinthians,2T,2T,31,0,76,61,Diego da Cruz Lopes,diego_da_cruz_lopes,19,Andre Martin Carrillo Diaz,andre_martin_carrillo_diaz
152,2026,A,16,Botafogo,botafogo,2T,2T,34,0,79,23,Santiago Mariano Rodriguez M,santiago_mariano_rodriguez_m,10,Alvaro Montoro,alvaro_montoro
152,2026,A,16,Botafogo,botafogo,2T,2T,34,0,79,34,Gabriel Pereira Justino,gabriel_pereira_justino,6,Cristian Nicolas Medina,cristian_nicolas_medina
153,2026,A,16,Santos FC,santos_fc,1T,1T,39,0,39,28,Christian Gabriel Oliva Gime,christian_gabriel_oliva_gime,12,Mayke Rocha de Oliveira,mayke_rocha_de_oliveira
153,2026,A,16,Santos FC,santos_fc,2T,2T,10,0,55,26,João Paulo Ananias Bento,joao_paulo_ananias_bento,14,Luan Peres Petroni,luan_peres_petroni
153,2026,A,16,Coritiba SAF,coritiba_saf,2T,2T,15,0,60,8,Wallisson Luiz Alves Maximo,wallisson_luiz_alves_maximo,86,Lucas Taverna,lucas_taverna
153,2026,A,16,Coritiba SAF,coritiba_saf,2T,2T,15,0,60,29,Willian Osmar de Oliveira Si,willian_osmar_de_oliveira_si,7,Joaquin Lavega Colzada,joaquin_lavega_colzada
153,2026,A,16,Santos FC,santos_fc,2T,2T,20,0,65,7,Robson de Souza Júnior,robson_de_souza_junior,10,Neymar da Silva Santos Junior,neymar_da_silva_santos_junior
153,2026,A,16,Coritiba SAF,coritiba_saf,2T,2T,38,0,83,36,Vinicius Romualdo dos Santos,vinicius_romualdo_dos_santos,21,Thiago dos Santos,thiago_dos_santos
153,2026,A,16,Coritiba SAF,coritiba_saf,2T,2T,38,0,83,78,Renato Marques de Oliveira J,renato_marques_de_oliveira_j,32,Pedro Rocha Neves,pedro_rocha_neves
153,2026,A,16,Coritiba SAF,coritiba_saf,2T,2T,90,2,92,39,Gustavo Silva de Oliveira,gustavo_silva_de_oliveira,10,Josue Filipe Soares Pesqueira,josue_filipe_soares_pesqueira
153,2026,A,16,Coritiba SAF,coritiba_saf,2T,2T,90,4,94,33,David Alves França,david_alves_franca,77,Breno Henrique Vasconcelos L,breno_henrique_vasconcelos_l
154,2026,A,16,Palmeiras,palmeiras,1T,1T,16,0,16,18,Mauricio Magalhaes Prado,mauricio_magalhaes_prado,19,Ramon Sosa Acosta,ramon_sosa_acosta
154,2026,A,16,Palmeiras,palmeiras,1T,1T,43,0,43,30,Lucas Evangelista Santana de,lucas_evangelista_santana_de,7,Felipe Anderson Pereira Gomes,felipe_anderson_pereira_gomes
154,2026,A,16,Cruzeiro,cruzeiro,2T,2T,29,0,74,70,Kaique Kenji Takamura Correa,kaique_kenji_takamura_correa,99,Keny Alexander Arroyo Alvarado,keny_alexander_arroyo_alvarado
154,2026,A,16,Palmeiras,palmeiras,2T,2T,31,0,76,12,Khellven Douglas Silva Olive,khellven_douglas_silva_olive,4,Agustin Giay,agustin_giay
154,2026,A,16,Palmeiras,palmeiras,2T,2T,31,0,76,6,Jefté Vital da Silva Dias,jefte_vital_da_silva_dias,56,Arthur Gabriel Santana Marco,arthur_gabriel_santana_marco
154,2026,A,16,Palmeiras,palmeiras,2T,2T,31,0,76,10,Paulo Henrique Sampaio Filho,paulo_henrique_sampaio_filho,8,Andreas Hugo Hoelgebaum Pere,andreas_hugo_hoelgebaum_pere
