partida_id,temporada,serie,rodada,clube,clube_slug,num_camisa,apelido,nome_completo,nome_truncado,atleta_slug,apelido_slug,condicao,goleiro,presente,registro_cbf
4,2026,A,1,Bahia,bahia,3,Gabriel Xa ...,Gabriel Lheman Xavier,False,gabriel_lheman_xavier,gabriel_xa,Reserva,False,True,547837
4,2026,A,1,Bahia,bahia,4,Kanu,Victor Hugo Soares d,True,kanu,kanu,Reserva,False,True,355418
4,2026,A,1,Bahia,bahia,6,Jean Lucas,Jean Lucas de Souza,True,jean_lucas,jean_lucas,Titular,False,True,318143
4,2026,A,1,Bahia,bahia,7,Ademir,Ademir da Silva Sant,True,ademir,ademir,Titular,False,True,438212
4,2026,A,1,Bahia,bahia,10,Éverton R ...,Everton Augusto de B,True,everton_r,everton_r,Titular,False,True,177444
4,2026,A,1,Bahia,bahia,11,Rodrigo Ne ...,Rodrigo Nestor Bertalia,False,rodrigo_nestor_bertalia,rodrigo_ne,Reserva,False,True,464320
4,2026,A,1,Bahia,bahia,12,Willian José,Willian Jose da Silva,False,willian_jose_da_silva,willian_jose,Titular,False,True,305535
4,2026,A,1,Bahia,bahia,14,Erick,Erick Luis Conrado C,True,erick,erick,Reserva,False,True,376073
4,2026,A,1,Bahia,bahia,15,Michel Araujo,Michel Daryl Araujo,True,michel_araujo,michel_araujo,Reserva,False,True,693055
4,2026,A,1,Bahia,bahia,16,Erick Pulga,Erick da Costa Farias,False,erick_da_costa_farias,erick_pulga,Titular,False,True,526916
4,2026,A,1,Bahia,bahia,19,Caio Alexa ...,Caio Alexandre Sousa,True,caio_alexa,caio_alexa,Reserva,False,True,336119
4,2026,A,1,Bahia,bahia,21,Ramos Mingo,Santiago Martin Ramo,True,ramos_mingo,ramos_mingo,Titular,False,True,894406
4,2026,A,1,Bahia,bahia,25,Iago,Iago Amaral Borduchi,False,iago_amaral_borduchi,iago,Reserva,False,True,356389
4,2026,A,1,Bahia,bahia,26,Acevedo,Nicolas Brian Aceved,True,acevedo,acevedo,Titular,False,True,793460
4,2026,A,1,Bahia,bahia,31,Gomez,Roman Agustin Gomez,False,roman_agustin_gomez,gomez,Reserva,False,True,943518
4,2026,A,1,Bahia,bahia,33,David Duarte,David de Duarte Macedo,False,david_de_duarte_macedo,david_duarte,Titular,False,True,348537
4,2026,A,1,Bahia,bahia,34,Joao Paulo,Joao Paulo Silva Martins,False,joao_paulo_silva_martins,joao_paulo,Reserva,True,True,362877
4,2026,A,1,Bahia,bahia,46,Luciano Juba,Luciano Batista da S,True,luciano_juba,luciano_juba,Titular,False,True,554138
4,2026,A,1,Bahia,bahia,57,Kauê,Kauê Junior Furquim,True,kaue,kaue,Reserva,False,True,710141
4,2026,A,1,Bahia,bahia,89,Dell,Wendeson Wanderley S,True,dell,dell,Reserva,False,True,718778
4,2026,A,1,Bahia,bahia,99,Kike Olivera,Cristian Gonzalo Oli,True,kike_olivera,kike_olivera,Reserva,False,True,895912
4,2026,A,1,Corinthians,corinthians,1,Hugo Souza,Hugo de Souza Nogueira,False,hugo_de_souza_nogueira,hugo_souza,Titular,True,True,376228
4,2026,A,1,Corinthians,corinthians,2,Matheuzinho,Matheus Franca Silva,False,matheus_franca_silva,matheuzinho,Titular,False,True,565578
4,2026,A,1,Corinthians,corinthians,3,Gabriel,Gabriel Armando de Abreu,False,gabriel_armando_de_abreu,gabriel,Titular,False,True,312462
4,2026,A,1,Corinthians,corinthians,5,Andre,Andre Ramalho Silva,False,andre_ramalho_silva,andre,Reserva,False,True,313329
4,2026,A,1,Corinthians,corinthians,7,Bidon,Breno de Souza Bidon,False,breno_de_souza_bidon,bidon,Titular,False,True,660172
4,2026,A,1,Corinthians,corinthians,8,RODRIGO GARRO,Rodrigo Garro,False,rodrigo_garro,rodrigo_garro,Titular,False,True,836677
4,2026,A,1,Corinthians,corinthians,9,Yuri Alberto,Yuri Alberto Monteir,True,yuri_alberto,yuri_alberto,Titular,False,True,436395
4,2026,A,1,Corinthians,corinthians,10,Memphis Depay,Memphis Depay,False,memphis_depay,memphis_depay,Titular,False,True,883905
4,2026,A,1,Corinthians,corinthians,11,Vitinho,Victor Vinicius Coel,True,vitinho,vitinho,Reserva,False,True,307245
4,2026,A,1,Corinthians,corinthians,13,Gustavo,Gustavo Henrique Vernes,False,gustavo_henrique_vernes,gustavo,Titular,False,True,186450
4,2026,A,1,Corinthians,corinthians,14,Raniele,Raniele Almeida Melo,False,raniele_almeida_melo,raniele,Titular,False,True,512119
4,2026,A,1,Corinthians,corinthians,18,Pedro Raul,Pedro Raul Garay da Silva,False,pedro_raul_garay_da_silva,pedro_raul,Reserva,False,True,502361
4,2026,A,1,Corinthians,corinthians,19,Andre Carr ...,Andre Martin Carrill,True,andre_carr,andre_carr,Titular,False,True,883861
4,2026,A,1,Corinthians,corinthians,20,Pedro Milans,Pedro Milans Carambula,False,pedro_milans_carambula,pedro_milans,Reserva,False,True,944060
4,2026,A,1,Corinthians,corinthians,21,Matheus Bidu,Matheus Lima Beltrao,True,matheus_bidu,matheus_bidu,Titular,False,True,502230
4,2026,A,1,Corinthians,corinthians,23,Matheus,Matheus Pereira da Silva,False,matheus_pereira_da_silva,matheus,Reserva,False,True,337270
4,2026,A,1,Corinthians,corinthians,31,Kayke,Kayke Ferrari Guimaraes,False,kayke_ferrari_guimaraes,kayke,Reserva,False,True,628553
4,2026,A,1,Corinthians,corinthians,35,Charles,Charles Rigon Matos,False,charles_rigon_matos,charles,Reserva,False,True,407683
4,2026,A,1,Corinthians,corinthians,40,Felipe Longo,Felipe Longo Fernand,True,felipe_longo,felipe_longo,Reserva,True,True,655221
4,2026,A,1,Corinthians,corinthians,46,Hugo,Hugo Ferreira de Farias,False,hugo_ferreira_de_farias,hugo,Reserva,False,True,403342
4,2026,A,1,Corinthians,corinthians,49,André,André Luiz Santos Dias,False,andre_luiz_santos_dias,andre,Reserva,False,True,694372
4,2026,A,1,Corinthians,corinthians,56,Gui Negão,Guilherme William Si,True,gui_negao,gui_negao,Reserva,False,True,710356
4,2026,A,1,Corinthians,corinthians,61,Diego,Diego da Cruz Lopes,False,diego_da_cruz_lopes,diego,Reserva,False,True,710301
5,2026,A,1,Mirassol,mirassol,3,Willian Ma ...,Willian Estefani Machado,False,willian_estefani_machado,willian_ma,Titular,False,True,431740
5,2026,A,1,Mirassol,mirassol,4,Luiz Otavio,Luiz Otavio da Silva,True,luiz_otavio,luiz_otavio,Reserva,False,True,335012
5,2026,A,1,Mirassol,mirassol,5,Yuri Lara,Yuri Lima Lara,False,yuri_lima_lara,yuri_lara,Titular,False,True,401167
5,2026,A,1,Mirassol,mirassol,6,Reinaldo,Reinaldo Manoel da Silva,False,reinaldo_manoel_da_silva,reinaldo,Titular,False,True,332318
5,2026,A,1,Mirassol,mirassol,7,Shaylon,Shaylon Kallyson Cardozo,False,shaylon_kallyson_cardozo,shaylon,Reserva,False,True,421138
