partida_id,temporada,rodada,clube,clube_slug,chutes,chutes_no_alvo,posse_de_bola_pct,passes,precisao_passes_pct,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,scouts_validos
75,2003,7,Cruzeiro,cruzeiro,0,0,,0,,0,0,0,0,0,False
75,2003,7,Athletico-PR,athletico_pr,0,0,,0,,0,0,0,0,0,False
76,2003,7,Fortaleza,fortaleza,0,0,,0,,0,0,0,0,0,False
76,2003,7,Corinthians,corinthians,0,0,,0,,0,0,0,0,0,False
77,2003,7,Figueirense,figueirense,0,0,,0,,0,0,0,0,0,False
77,2003,7,Sao Paulo,sao_paulo,0,0,,0,,0,0,0,0,0,False
78,2003,7,Sao Caetano,sao_caetano,0,0,,0,,0,0,0,0,0,False
78,2003,7,Paysandu,paysandu,0,0,,0,,0,0,0,0,0,False
79,2003,7,Goias,goias,0,0,,0,,0,0,0,0,0,False
79,2003,7,Internacional,internacional,0,0,,0,,0,0,0,0,0,False
80,2003,7,Atletico-MG,atletico_mg,0,0,,0,,0,0,0,0,0,False
80,2003,7,Ponte Preta,ponte_preta,0,0,,0,,0,0,0,0,0,False
81,2003,7,Juventude,juventude,0,0,,0,,0,0,0,0,0,False
81,2003,7,Guarani,guarani,0,0,,0,,0,0,0,0,0,False
82,2003,7,Coritiba,coritiba,0,0,,0,,0,0,0,0,0,False
82,2003,7,Parana,parana,0,0,,0,,0,0,0,0,0,False
83,2003,7,Santos,santos,0,0,,0,,0,0,0,0,0,False
83,2003,7,Criciuma,criciuma,0,0,,0,,0,0,0,0,0,False
84,2003,7,Fluminense,fluminense,0,0,,0,,0,0,0,0,0,False
84,2003,7,Vasco,vasco,0,0,,0,,0,0,0,0,0,False
85,2003,8,Goias,goias,0,0,,0,,0,0,0,0,0,False
85,2003,8,Flamengo,flamengo,0,0,,0,,0,0,0,0,0,False
86,2003,8,Cruzeiro,cruzeiro,0,0,,0,,0,0,0,0,0,False
86,2003,8,Santos,santos,0,0,,0,,0,0,0,0,0,False
87,2003,8,Ponte Preta,ponte_preta,0,0,,0,,0,0,0,0,0,False
87,2003,8,Parana,parana,0,0,,0,,0,0,0,0,0,False
88,2003,8,Criciuma,criciuma,0,0,,0,,0,0,0,0,0,False
88,2003,8,Corinthians,corinthians,0,0,,0,,0,0,0,0,0,False
89,2003,8,Vasco,vasco,0,0,,0,,0,0,0,0,0,False
89,2003,8,Bahia,bahia,0,0,,0,,0,0,0,0,0,False
90,2003,8,Paysandu,paysandu,0,0,,0,,0,0,0,0,0,False
90,2003,8,Fluminense,fluminense,0,0,,0,,0,0,0,0,0,False
91,2003,8,Atletico-MG,atletico_mg,0,0,,0,,0,0,0,0,0,False
91,2003,8,Sao Paulo,sao_paulo,0,0,,0,,0,0,0,0,0,False
92,2003,8,Fortaleza,fortaleza,0,0,,0,,0,0,0,0,0,False
92,2003,8,Vitoria,vitoria,0,0,,0,,0,0,0,0,0,False
93,2003,8,Guarani,guarani,0,0,,0,,0,0,0,0,0,False
93,2003,8,Internacional,internacional,0,0,,0,,0,0,0,0,0,False
94,2003,8,Juventude,juventude,0,0,,0,,0,0,0,0,0,False
94,2003,8,Athletico-PR,athletico_pr,0,0,,0,,0,0,0,0,0,False
95,2003,8,Figueirense,figueirense,0,0,,0,,0,0,0,0,0,False
95,2003,8,Sao Caetano,sao_caetano,0,0,,0,,0,0,0,0,0,False
96,2003,8,Coritiba,coritiba,0,0,,0,,0,0,0,0,0,False
96,2003,8,Gremio,gremio,0,0,,0,,0,0,0,0,0,False
97,2003,9,Figueirense,figueirense,0,0,,0,,0,0,0,0,0,False
97,2003,9,Fluminense,fluminense,0,0,,0,,0,0,0,0,0,False
98,2003,9,Sao Caetano,sao_caetano,0,0,,0,,0,0,0,0,0,False
98,2003,9,Atletico-MG,atletico_mg,0,0,,0,,0,0,0,0,0,False
99,2003,9,Juventude,juventude,0,0,,0,,0,0,0,0,0,False
99,2003,9,Santos,santos,0,0,,0,,0,0,0,0,0,False
