partida_id,temporada,rodada,clube,clube_slug,atleta,atleta_slug,minuto_continuo,minuto_nominal,acrescimo,periodo,tipo_de_gol
6898,2020,2,Botafogo-RJ,botafogo_rj,Matheus Babi,matheus_babi,65,65,0,2T,Normal
6897,2020,2,Corinthians,corinthians,Jô,jo,12,12,0,1T,Normal
6897,2020,2,Atletico-MG,atletico_mg,Hyoran,hyoran,52,52,0,2T,Normal
6897,2020,2,Corinthians,corinthians,Ángelo Araos,angelo_araos,30,30,0,1T,Normal
6897,2020,2,Atletico-MG,atletico_mg,Hyoran,hyoran,56,56,0,2T,Normal
6897,2020,2,Atletico-MG,atletico_mg,Nathan Allan de Souza,nathan_allan_de_souza,61,61,0,2T,Normal
6899,2020,2,Bahia,bahia,Rodrigo Eduardo Costa Marinho,rodrigo_eduardo_costa_marinho,40,40,0,1T,Penalty
6900,2020,2,Atletico-GO,atletico_go,Hyuri,hyuri,15,15,0,1T,Normal
6900,2020,2,Atletico-GO,atletico_go,Jorginho,jorginho,32,32,0,1T,Normal
6900,2020,2,Atletico-GO,atletico_go,Gustavo Ferrareis,gustavo_ferrareis,61,61,0,2T,Normal
6901,2020,2,Gremio,gremio,Thaciano,thaciano,71,71,0,2T,Normal
6901,2020,2,Ceara,ceara,Cléber,cleber,44,44,0,1T,Normal
6902,2020,2,Fluminense,fluminense,Francisco Evanilson de Lima Barbosa,francisco_evanilson_de_lima_barbosa,39,39,0,1T,Normal
6902,2020,2,Palmeiras,palmeiras,Luiz Adriano,luiz_adriano,15,15,0,1T,Normal
6903,2020,2,Sao Paulo,sao_paulo,Daniel Alves,daniel_alves,43,43,0,1T,Normal
6904,2020,2,Internacional,internacional,Paolo Guerrero,paolo_guerrero,57,57,0,2T,Normal
6904,2020,2,Internacional,internacional,Edenílson Andrade dos Santos,edenilson_andrade_dos_santos,88,88,0,2T,Normal
6905,2020,2,Vasco,vasco,Fellipe Bastos,fellipe_bastos,9,9,0,1T,Normal
6905,2020,2,Vasco,vasco,Fellipe Bastos,fellipe_bastos,32,32,0,1T,Normal
6907,2020,3,Flamengo,flamengo,Giorgian De Arrascaeta,giorgian_de_arrascaeta,28,28,0,1T,Normal
6908,2020,3,Palmeiras,palmeiras,Gustavo Gómez,gustavo_gomez,18,18,0,1T,Normal
6908,2020,3,Goias,goias,Rafael Vaz,rafael_vaz,39,39,0,1T,Normal
6909,2020,3,Atletico-MG,atletico_mg,Marrony,marrony,73,73,0,2T,Penalty
6909,2020,3,Atletico-MG,atletico_mg,Marrony,marrony,92,90,2,2T,Normal
6910,2020,3,Bahia,bahia,José Carlos Ferreira Júnior,jose_carlos_ferreira_junior,26,26,0,1T,Normal
6910,2020,3,Bahia,bahia,Ernando Rodrigues Lopes,ernando_rodrigues_lopes,93,90,3,2T,Normal
6910,2020,3,Bragantino,bragantino,Léo Ortiz,leo_ortiz,77,77,0,2T,Normal
6911,2020,3,Vasco,vasco,Germán Cano,german_cano,75,75,0,2T,Normal
6911,2020,3,Vasco,vasco,Germán Cano,german_cano,62,62,0,2T,Normal
6911,2020,3,Sao Paulo,sao_paulo,Reinaldo Manoel da Silva,reinaldo_manoel_da_silva,97,90,7,2T,Penalty
6912,2020,3,Fluminense,fluminense,Nenê,nene,39,39,0,1T,Penalty
6912,2020,3,Internacional,internacional,Paolo Guerrero,paolo_guerrero,28,28,0,1T,Normal
6912,2020,3,Fluminense,fluminense,Nenê,nene,77,77,0,2T,Penalty
6913,2020,3,Atletico-GO,atletico_go,Jorginho,jorginho,13,13,0,1T,Normal
6913,2020,3,Sport,sport,Iago Maidana,iago_maidana,94,90,4,2T,Normal
6915,2020,3,Santos,santos,Yeferson Soteldo,yeferson_soteldo,29,29,0,1T,Normal
6915,2020,3,Santos,santos,Felipe Jonatan,felipe_jonatan,41,41,0,1T,Normal
6915,2020,3,Santos,santos,Mário Sérgio Santos Costa,mario_sergio_santos_costa,82,82,0,2T,Normal
6915,2020,3,Athletico-PR,athletico_pr,Abner Vinícius,abner_vinicius,88,88,0,2T,Normal
6916,2020,4,Gremio,gremio,Pepê,pepe,45,45,0,1T,Normal
6916,2020,4,Flamengo,flamengo,Gabriel Barbosa,gabriel_barbosa,89,89,0,2T,Penalty
6917,2020,4,Bragantino,bragantino,Alerrandro Barra Mansa Realino de Souza,alerrandro_barra_mansa_realino_de_souza,1,1,0,1T,Normal
6917,2020,4,Bragantino,bragantino,Luis Phelipe,luis_phelipe,82,82,0,2T,Normal
6917,2020,4,Fluminense,fluminense,Nenê,nene,2,2,0,1T,Normal
6918,2020,4,Palmeiras,palmeiras,Raphael Cavalcante Veiga,raphael_cavalcante_veiga,92,90,2,2T,Normal
6920,2020,4,Internacional,internacional,Damián Musto,damian_musto,52,52,0,2T,Normal
6920,2020,4,Internacional,internacional,Thiago Galhardo,thiago_galhardo,69,69,0,2T,Normal
6920,2020,4,Internacional,internacional,Thiago Galhardo,thiago_galhardo,90,90,0,2T,Penalty
6919,2020,4,Fortaleza,fortaleza,Yuri César,yuri_cesar,69,69,0,2T,Normal
6919,2020,4,Goias,goias,Jefferson,jefferson,80,80,0,2T,Normal
6919,2020,4,Fortaleza,fortaleza,Wellington Paulista,wellington_paulista,8,8,0,1T,Normal
6919,2020,4,Fortaleza,fortaleza,Bruno Ferreira Melo,bruno_ferreira_melo,59,59,0,2T,Normal
6921,2020,4,Corinthians,corinthians,Jô,jo,49,49,0,2T,Normal
6921,2020,4,Corinthians,corinthians,Gustavo Mosquito,gustavo_mosquito,87,87,0,2T,Normal
6921,2020,4,Coritiba,coritiba,Luiz Ricardo Alves,luiz_ricardo_alves,42,42,0,1T,Normal
