partida_id,temporada,rodada,data,horario,clube_mandante,clube_mandante_slug,clube_visitante,clube_visitante_slug,gols_mandante,gols_visitante,total_gols,saldo_mandante,resultado,vencedor,arena,mandante_uf,visitante_uf,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,tem_bet_mandante,tipo_bet_mandante,marca_bet_mandante,exposure_clube_mandante,exposure_total_mandante,categoria_exp_mandante,tem_bet_visitante,tipo_bet_visitante,marca_bet_visitante,exposure_clube_visitante,exposure_total_visitante,categoria_exp_visitante,exposure_clube_partida,exposure_total_partida,ambos_patrocinados_bet,algum_patrocinado_bet,categoria_exposicao_partida
28,2003,4,2003-04-16,20:30,Atletico-MG,atletico_mg,Guarani,guarani,3,2,5,1,Vitoria Mandante,Atletico-MG, Mineirão,MG,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
29,2003,4,2003-04-16,20:30,Figueirense,figueirense,Athletico-PR,athletico_pr,1,1,2,0,Empate,-, Orlando Scarpelli,SC,PR,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
30,2003,4,2003-04-16,20:30,Ponte Preta,ponte_preta,Criciuma,criciuma,1,1,2,0,Empate,-, Moisés Lucarelli,SP,SC,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
31,2003,4,2003-04-16,21:40,Sao Caetano,sao_caetano,Flamengo,flamengo,1,1,2,0,Empate,-, Anacleto Campanella,SP,RJ,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
32,2003,4,2003-04-16,21:40,Vasco,vasco,Corinthians,corinthians,2,2,4,0,Empate,-, São Januário,RJ,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
33,2003,4,2003-04-16,21:40,Coritiba,coritiba,Cruzeiro,cruzeiro,3,4,7,-1,Vitoria Visitante,Cruzeiro, Couto Pereira,PR,MG,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
34,2003,4,2003-04-17,20:30,Fluminense,fluminense,Internacional,internacional,3,1,4,2,Vitoria Mandante,Fluminense, Maracanã,RJ,RS,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
35,2003,4,2003-04-17,20:30,Sao Paulo,sao_paulo,Fortaleza,fortaleza,3,1,4,2,Vitoria Mandante,Sao Paulo, Morumbi,SP,CE,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
36,2003,4,2003-04-17,20:30,Parana,parana,Goias,goias,3,1,4,2,Vitoria Mandante,Parana, Pinheirão,PR,GO,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
144,2003,12,2003-04-18,20:30,Flamengo,flamengo,Cruzeiro,cruzeiro,3,0,3,3,Vitoria Mandante,Flamengo, Maracanã,RJ,MG,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
