partida_id,temporada,rodada,clube,clube_slug,cartao,atleta,atleta_slug,num_camisa,posicao,minuto_continuo,minuto_nominal,acrescimo,periodo
8463,2024,6,Cuiaba,cuiaba,Amarelo,Jonathan Cafú,jonathan_cafu,7,Atacante,97,90,7,2T
8463,2024,6,Cuiaba,cuiaba,Amarelo,Fernando Sobral,fernando_sobral,88,Meio-campo,86,86,0,2T
8463,2024,6,Cuiaba,cuiaba,Amarelo,Matheus Alexandre Anastácio de Souza,matheus_alexandre_anastacio_de_souza,2,Zagueiro,31,31,0,1T
8463,2024,6,Criciuma,criciuma,Amarelo,Tobias Figueiredo,tobias_figueiredo,29,Zagueiro,86,86,0,2T
8463,2024,6,Criciuma,criciuma,Amarelo,Marquinhos,marquinhos,10,Meio-campo,73,73,0,2T
8463,2024,6,Cuiaba,cuiaba,Amarelo,André Luis,andre_luis,97,Atacante,98,90,8,2T
8463,2024,6,Cuiaba,cuiaba,Amarelo,Guilherme Madruga,guilherme_madruga,8,Zagueiro,91,90,1,2T
8463,2024,6,Cuiaba,cuiaba,Amarelo,Walter Leandro Capeloza Artune,walter_leandro_capeloza_artune,1,Goleiro,76,76,0,2T
8476,2024,8,Corinthians,corinthians,Vermelho,Gustavo Henrique Vernes,gustavo_henrique_vernes,13,Zagueiro,34,34,0,1T
8476,2024,8,Atletico-GO,atletico_go,Amarelo,Pedro Rangel,pedro_rangel,12,Goleiro,100,90,10,2T
8476,2024,8,Atletico-GO,atletico_go,Amarelo,Gabriel Baralhas,gabriel_baralhas,8,Meio-campo,13,13,0,1T
8476,2024,8,Corinthians,corinthians,Amarelo,Yuri Alberto,yuri_alberto,9,Atacante,51,51,0,2T
8476,2024,8,Corinthians,corinthians,Amarelo,Rodrigo Garro,rodrigo_garro,10,Meio-campo,21,21,0,1T
8476,2024,8,Atletico-GO,atletico_go,Amarelo,Guilherme Romão,guilherme_romao,6,Zagueiro,56,56,0,2T
8476,2024,8,Corinthians,corinthians,Amarelo,Carlos Miguel,carlos_miguel,22,Goleiro,80,80,0,2T
8476,2024,8,Corinthians,corinthians,Amarelo,Gustavo Henrique Vernes,gustavo_henrique_vernes,13,Zagueiro,25,25,0,1T
8477,2024,8,Juventude,juventude,Amarelo,Lucas Barbosa,lucas_barbosa,21,Meio-campo,77,77,0,2T
8477,2024,8,Vitoria,vitoria,Amarelo,Léo Naldi,leo_naldi,5,Meio-campo,80,80,0,2T
8477,2024,8,Vitoria,vitoria,Amarelo,Willian,willian,29,Meio-campo,40,40,0,1T
8477,2024,8,Juventude,juventude,Amarelo,Jadson,jadson,16,Meio-campo,88,88,0,2T
8477,2024,8,Juventude,juventude,Amarelo,Caique de Jesus Gonçalves,caique_de_jesus_goncalves,95,Meio-campo,48,45,3,1T
8477,2024,8,Vitoria,vitoria,Amarelo,Lucas Arcanjo,lucas_arcanjo,1,Goleiro,69,69,0,2T
8477,2024,8,Vitoria,vitoria,Amarelo,Caio Vinícius da Conceição,caio_vinicius_da_conceicao,15,Meio-campo,28,28,0,1T
8478,2024,8,Botafogo-RJ,botafogo_rj,Amarelo,Damián Suárez,damian_suarez,22,Zagueiro,74,74,0,2T
8478,2024,8,Botafogo-RJ,botafogo_rj,Amarelo,Tiquinho Soares,tiquinho_soares,9,Atacante,15,15,0,1T
8478,2024,8,Fluminense,fluminense,Amarelo,Paulo Henrique Ganso,paulo_henrique_ganso,10,Meio-campo,50,45,5,1T
8478,2024,8,Botafogo-RJ,botafogo_rj,Amarelo,Danilo Neves,danilo_neves,6,Meio-campo,50,45,5,1T
8478,2024,8,Fluminense,fluminense,Amarelo,Marcelo Vieira da Silva Júnior,marcelo_vieira_da_silva_junior,12,Zagueiro,74,74,0,2T
8478,2024,8,Fluminense,fluminense,Amarelo,Martinelli,martinelli,8,Meio-campo,11,11,0,1T
8479,2024,8,Atletico-MG,atletico_mg,Vermelho,Rodrigo Battaglia,rodrigo_battaglia,21,Meio-campo,100,90,10,2T
8479,2024,8,Bragantino,bragantino,Amarelo,Eduardo Santos,eduardo_santos,3,Zagueiro,98,90,8,2T
8479,2024,8,Bragantino,bragantino,Amarelo,Juninho Capixaba,juninho_capixaba,29,Zagueiro,81,81,0,2T
8479,2024,8,Bragantino,bragantino,Amarelo,Lucas Evangelista,lucas_evangelista,8,Meio-campo,33,33,0,1T
8479,2024,8,Atletico-MG,atletico_mg,Amarelo,Bruno Fuchs,bruno_fuchs,3,Zagueiro,85,85,0,2T
8479,2024,8,Atletico-MG,atletico_mg,Amarelo,Éverson,everson,22,Goleiro,21,21,0,1T
8479,2024,8,Bragantino,bragantino,Vermelho,Eduardo Sasha,eduardo_sasha,19,Atacante,90,90,0,2T
8479,2024,8,Bragantino,bragantino,Amarelo,Nathan,nathan,45,Zagueiro,95,90,5,2T
8479,2024,8,Bragantino,bragantino,Amarelo,Thiago Borbas,thiago_borbas,18,Atacante,46,46,0,2T
8479,2024,8,Atletico-MG,atletico_mg,Amarelo,Mauricio Lemos,mauricio_lemos,4,Zagueiro,89,89,0,2T
8479,2024,8,Atletico-MG,atletico_mg,Amarelo,Rodrigo Battaglia,rodrigo_battaglia,21,Meio-campo,51,51,0,2T
8479,2024,8,Atletico-MG,atletico_mg,Amarelo,Renzo Saravia,renzo_saravia,26,Zagueiro,15,15,0,1T
8480,2024,8,Cruzeiro,cruzeiro,Amarelo,Matheus Pereira,matheus_pereira,10,Meio-campo,87,87,0,2T
8480,2024,8,Cruzeiro,cruzeiro,Amarelo,Rafael da Silva,rafael_da_silva,8,Atacante,78,78,0,2T
8480,2024,8,Cuiaba,cuiaba,Amarelo,Ramon Ramos Lima,ramon_ramos_lima,23,Zagueiro,66,66,0,2T
8480,2024,8,Cruzeiro,cruzeiro,Amarelo,Anderson,anderson,98,Goleiro,82,82,0,2T
8480,2024,8,Cuiaba,cuiaba,Amarelo,Marllon Borges,marllon_borges,4,Zagueiro,97,90,7,2T
8481,2024,8,Criciuma,criciuma,Amarelo,Eder Citadin Martins,eder_citadin_martins,23,Atacante,22,22,0,1T
8483,2024,8,Flamengo,flamengo,Amarelo,Pedro,pedro,9,Atacante,32,32,0,1T
8483,2024,8,Gremio,gremio,Amarelo,Felipe Carballo,felipe_carballo,8,Meio-campo,80,80,0,2T
8483,2024,8,Gremio,gremio,Amarelo,João Pedro Maturano dos Santos,joao_pedro_maturano_dos_santos,18,Zagueiro,46,46,0,2T
8483,2024,8,Flamengo,flamengo,Amarelo,Wesley França,wesley_franca,43,Zagueiro,47,45,2,1T
8483,2024,8,Gremio,gremio,Amarelo,Walter Kannemann,walter_kannemann,4,Zagueiro,93,90,3,2T
8483,2024,8,Gremio,gremio,Amarelo,Everton,everton,13,Meio-campo,56,56,0,2T
8482,2024,8,Internacional,internacional,Amarelo,Bruno Gomes,bruno_gomes,15,Meio-campo,97,90,7,2T
8482,2024,8,Internacional,internacional,Amarelo,Fabricio Bustos,fabricio_bustos,16,Zagueiro,57,57,0,2T
8482,2024,8,Internacional,internacional,Amarelo,Fernando Reges,fernando_reges,5,Zagueiro,34,34,0,1T
8482,2024,8,Sao Paulo,sao_paulo,Amarelo,Jonathan Calleri,jonathan_calleri,9,Atacante,84,84,0,2T
8482,2024,8,Sao Paulo,sao_paulo,Amarelo,Luiz Gustavo,luiz_gustavo,16,Meio-campo,66,66,0,2T
8482,2024,8,Internacional,internacional,Amarelo,Charles Aránguiz,charles_aranguiz,20,Meio-campo,72,72,0,2T
8482,2024,8,Internacional,internacional,Amarelo,Vitão,vitao,44,Zagueiro,57,57,0,2T
8482,2024,8,Sao Paulo,sao_paulo,Amarelo,Aldemir Ferreira,aldemir_ferreira,47,Atacante,97,90,7,2T
8482,2024,8,Sao Paulo,sao_paulo,Amarelo,Giuliano Galoppo,giuliano_galoppo,8,Meio-campo,82,82,0,2T
8485,2024,8,Palmeiras,palmeiras,Amarelo,Rony,rony,10,Atacante,72,72,0,2T
8485,2024,8,Vasco,vasco,Amarelo,Juan Sforza,juan_sforza,20,Meio-campo,51,51,0,2T
8485,2024,8,Vasco,vasco,Amarelo,Victor Luis,victor_luis,12,Zagueiro,93,90,3,2T
8484,2024,8,Bahia,bahia,Amarelo,Carlos de Pena,carlos_de_pena,14,Meio-campo,94,90,4,2T
8484,2024,8,Bahia,bahia,Amarelo,Marcos Felipe de Freitas Monteiro,marcos_felipe_de_freitas_monteiro,22,Goleiro,86,86,0,2T
8484,2024,8,Bahia,bahia,Amarelo,Kanu,kanu,4,Zagueiro,58,58,0,2T
8484,2024,8,Bahia,bahia,Amarelo,Gabriel Teixeira,gabriel_teixeira,11,Atacante,96,90,6,2T
8484,2024,8,Bahia,bahia,Amarelo,Yago Rocha,yago_rocha,20,Meio-campo,88,88,0,2T
8484,2024,8,Bahia,bahia,Amarelo,Caio Alexandre,caio_alexandre,19,Meio-campo,70,70,0,2T
8484,2024,8,Fortaleza,fortaleza,Amarelo,Tomás Pochettino,tomas_pochettino,7,Meio-campo,82,82,0,2T
8486,2024,9,Bragantino,bragantino,Amarelo,Luan Cândido,luan_candido,36,Zagueiro,85,85,0,2T
8486,2024,9,Bragantino,bragantino,Amarelo,Lucas Ferrugem,lucas_ferrugem,4,Zagueiro,14,14,0,1T
8486,2024,9,Juventude,juventude,Amarelo,Rodrigo Sam,rodrigo_sam,34,Zagueiro,54,54,0,2T
8486,2024,9,Juventude,juventude,Amarelo,Luis Mandaca,luis_mandaca,44,Meio-campo,36,36,0,1T
8486,2024,9,Bragantino,bragantino,Vermelho,Jadsom,jadsom,5,Zagueiro,12,12,0,1T
8486,2024,9,Bragantino,bragantino,Amarelo,Ignacio Laquintana,ignacio_laquintana,33,Meio-campo,96,90,6,2T
