temporada,serie,clube_slug,registro_cbf,apelido,atleta_slug,num_camisa,partidas_relacionado,partidas_jogadas,partidas_como_titular,minutos_em_campo,media_minutos_por_jogo
2022,B,sampaio_correa,609605,PEDRO,pedro,14,31,5,4,335,67.0
2022,B,londrina,517492,Emerson Souza,emerson_santos_de_souza,18,14,7,3,334,47.7
2022,B,vila_nova,512544,Marcos Vin ...,marcos_vin,14,12,7,4,334,47.7
2022,B,ituano,693191,ELÁCIO,elacio,13,20,5,4,333,66.6
2022,B,ituano,337472,Lucas Nathan,lucas_nathan_veloso,18,30,13,2,332,25.5
2022,B,csa,291780,Rogerio,rogerio,10,11,11,1,328,29.8
2022,B,gremio,582447,Nata,nata,36,38,5,4,328,65.6
2022,B,sport,518992,Chico,chico,44,38,10,3,328,32.8
2022,B,operario,298995,Alemao,fagner_ironi_daponte,14,11,4,4,325,81.2
2022,B,crb,166603,Maicon,maicon,10,5,5,4,320,64.0
2022,B,cruzeiro_saf,299778,Chay,chay,77,8,6,4,320,53.3
2022,B,csa,187601,Everton Silva,everton_silva,14,6,5,4,314,62.8
2022,B,csa,389256,Dalberto,dalberto_luan_belo,28,8,6,4,313,52.2
2022,B,vila_nova,177998,Bruno Coll ...,bruno_bairros_collaco,6,12,5,3,313,62.6
2022,B,chapecoense,312907,Pablo,pablo_diogo_lopes_de_lima,2,8,4,4,310,77.5
2022,B,csa,340169,Jonathan,jonathan_francisco_lemos,22,10,6,4,310,51.7
2022,B,vasco_da_gama,540274,Juninho,juninho,50,16,11,1,310,28.2
2022,B,criciuma,337272,Renan,renan_carvalho_areias,15,30,8,3,309,38.6
2022,B,nautico,440225,Julio Vitor,julio_vitor,20,16,8,4,305,38.1
2022,B,operario,410396,Gustavo,gustavo_alcino,4,10,5,4,304,60.8
2022,B,ponte_preta,337245,Matheus,matheus,55,10,6,4,304,50.7
2022,B,cruzeiro_saf,466167,Wesley,wesley,2,11,9,3,302,33.6
2022,B,novorizontino,303018,Vinicius L ...,vinicius_leite_silva,20,13,8,2,301,37.6
2022,B,bahia,652687,Igor,igor_torres_da_silva,14,13,8,3,298,37.2
2022,B,ituano,321991,Vinicius Jaú,vinicius_de_lima_ferreira,18,14,11,1,296,26.9
2022,B,chapecoense,355752,Marcelo,marcelo,29,8,5,3,295,59.0
2022,B,guarani,427774,Emaxwell,emaxwell_souza_de_lima,71,15,11,2,295,26.8
2022,B,ponte_preta,413248,Lucas Ribamar,lucas_ribamar,14,9,9,3,293,32.6
2022,B,guarani,338081,Bruno,bruno,23,23,9,2,292,32.4
2022,B,csa,177802,Ernandes,ernandes_dias_luz,6,9,6,2,291,48.5
2022,B,operario,170011,Antonio,antonio,11,10,6,5,291,48.5
2022,B,operario,456808,Raphael,raphael_lourenco_santos,16,26,6,3,289,48.2
2022,B,vasco_da_gama_s_a_f,523349,Gabriel Pec,gabriel_fortes_chaves,11,13,10,1,288,28.8
2022,B,guarani,457493,Ludke,mateus_ludke,2,13,5,2,281,56.2
2022,B,nautico,320016,Thiago Ennes,thiago_ennes_moreira,2,15,4,3,281,70.2
2022,B,sampaio_correa,180284,Rafael Costa,rafael_costa_dos_santos,18,30,25,0,281,11.2
2022,B,ponte_preta,320834,Cassinho,cassinho,23,18,9,2,279,31.0
2022,B,nautico,543705,Luiz Felipe,luiz_felipe,14,23,8,2,278,34.8
2022,B,cruzeiro_saf,435161,Marquinhos ...,marcos_robson_cipriano,39,13,7,4,273,39.0
2022,B,vila_nova,307366,Marlone,marlone,17,18,12,2,273,22.8
2022,B,csa,567530,Jean,jean_carlos_batista,1,26,3,3,270,90.0
2022,B,londrina,299833,Victor Souza,victor_souza,1,3,3,3,270,90.0
2022,B,nautico,325261,Bruno,bruno,12,32,3,3,270,90.0
2022,B,nautico,428683,Diogo,diogo_hereda_da_silva,2,3,3,3,270,90.0
2022,B,nautico,456114,Robinho,robinho,16,17,10,1,270,27.0
2022,B,vila_nova,328820,Mancini,matheus_mancini,3,11,4,3,267,66.8
2022,B,novorizontino,352632,Felipe Neg ...,felipe_neg,22,9,8,3,261,32.6
2022,B,guarani,558580,Mayk,mayk,56,16,7,2,259,37.0
2022,B,brusque,292320,Felipe Manoel,felipe_manoel_goncalves,15,30,9,3,258,28.7
2022,B,nautico,344841,Ewandro,ewandro,7,12,5,4,257,51.4
2022,B,vasco_da_gama,177753,Alex,alex_teixeira_santos,7,4,4,3,257,64.2
2022,B,vasco_da_gama,344228,Matheus Ba ...,matheus_barbosa_teixeira,18,23,10,2,256,25.6
2022,B,brusque,435972,Angelo Chaves,angelo_samuel_chaves,99,16,5,2,255,51.0
2022,B,cruzeiro_saf,541008,Kaiki,kaiki_bruno_da_silva,46,10,6,2,253,42.2
2022,B,sampaio_correa,454277,Joao Victor,joao_victor,16,9,3,3,253,84.3
2022,B,operario,299686,Getterson,getterson,9,11,8,2,249,31.1
2022,B,vasco_da_gama,558560,Riquelme,riquelme,45,19,6,3,249,41.5
2022,B,vila_nova,647107,Jefferson,jefferson,6,22,8,1,248,31.0
2022,B,cruzeiro_saf,408944,Wagner,wagner,3,17,5,2,247,49.4
2022,B,novorizontino,169940,Welliton,welliton_soares_morais,19,23,12,0,247,20.6
2022,B,ponte_preta,647148,Leandro Ba ...,leandro_barcia_montero,11,10,7,3,247,35.3
2022,B,vasco_da_gama_s_a_f,591665,Paulo Victor,paulo_victor,66,10,5,4,247,49.4
2022,B,vila_nova,296193,Jean Silva,jean_goncalves_silva,17,11,8,1,247,30.9
2022,B,sport,439881,Alan,alan_de_souza_guimaraes,18,15,9,1,245,27.2
2022,B,csa,352216,Matheus,matheus_ferreira_de_sousa,16,17,8,2,244,30.5
2022,B,ponte_preta,429853,Léo Santos,leo_santos,3,10,5,3,239,47.8
2022,B,csa,700961,John Mercado,john_mercado,22,13,9,0,238,26.4
2022,B,gremio,558959,Sarara,mateus_ferreira,48,21,10,1,238,23.8
