partida_id,temporada,serie,rodada,clube,clube_slug,atleta,atleta_slug,num_camisa,minuto_nominal,acrescimo,minuto_continuo,periodo,tipo_de_gol
44,2022,B,5,Motivo: A2.1.  Reclamar,motivo_a2_1_reclamar,Novorizontino/SP,novorizontino_sp,13,23,0,23,1T,Normal
44,2022,B,5,Motivo: A1.14.  Atuar de maneira a mostrar desrespeito ao jogo - Por puxar seu adversário atuando de maneira a mostrar desrespeito,motivo_a1_14_atuar_de_maneira_a_mostrar_desrespeito_ao_jogo_por_puxar_seu_adversario_atuando_de_maneira_a_mostrar_desrespeito,Criciúma/SC,criciuma_sc,2,1,0,46,2T,Normal
44,2022,B,5,Criciúma,criciuma,Jose Marcos Alves Luis,jose_marcos_alves_luis,4,5,0,50,2T,Normal
44,2022,B,5,"Motivo: A3.  Retardar o reinício do jogo  - Por retardar o reinicio de jogo, atrapalhando a reposição de bola do goleiro adversário.",motivo_a3_retardar_o_reinicio_do_jogo_por_retardar_o_reinicio_de_jogo_atrapalhando_a_reposicao_de_bola_do_goleiro_adversario,Criciúma/SC,criciuma_sc,19,11,0,56,2T,Normal
44,2022,B,5,,,Nao Informado,nao_informado,19,25,0,70,2T,Normal
44,2022,B,5,Novorizontino,novorizontino,Lucas Costa da Silva,lucas_costa_da_silva,11,29,0,74,2T,Normal
44,2022,B,5,Motivo: A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola -  por dar uma entrada de maneira,motivo_a1_13_dar_uma_entrada_contra_um_adversario_de_maneira_temeraria_na_disputa_da_bola_por_dar_uma_entrada_de_maneira,Novorizontino/SP,novorizontino_sp,11,31,0,76,2T,Normal
44,2022,B,5,Motivo: A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola -  por dar uma entrada de maneira,motivo_a1_13_dar_uma_entrada_contra_um_adversario_de_maneira_temeraria_na_disputa_da_bola_por_dar_uma_entrada_de_maneira,Novorizontino/SP,novorizontino_sp,6,43,0,88,2T,Normal
45,2022,B,5,Ituano,ituano,Bernardo Schappo,bernardo_schappo,4,24,0,24,1T,Normal
46,2022,B,5,Londrina,londrina,Gabriel dos Santos Francisco,gabriel_dos_santos_francisco,9,2,0,2,1T,Normal
46,2022,B,5,Motivo: A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Por dar uma entrada de maneira,motivo_a1_13_dar_uma_entrada_contra_um_adversario_de_maneira_temeraria_na_disputa_da_bola_por_dar_uma_entrada_de_maneira,Londrina/PR,londrina_pr,4,21,0,21,1T,Normal
46,2022,B,5,Motivo: A1.11.  Golpear um adversário de maneira temerária na disputa da bola - Por golpear seu adversário com o braço de forma,motivo_a1_11_golpear_um_adversario_de_maneira_temeraria_na_disputa_da_bola_por_golpear_seu_adversario_com_o_braco_de_forma,Vila Nova/GO,vila_nova_go,11,23,0,23,1T,Normal
46,2022,B,5,Motivo: A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Por dar uma entrada de maneira,motivo_a1_13_dar_uma_entrada_contra_um_adversario_de_maneira_temeraria_na_disputa_da_bola_por_dar_uma_entrada_de_maneira,Londrina/PR,londrina_pr,13,36,0,36,1T,Normal
46,2022,B,5,,,Nao Informado,nao_informado,13,12,0,57,2T,Normal
46,2022,B,5,Vila Nova,vila_nova,Pablo Dyego da Silva Rosa,pablo_dyego_da_silva_rosa,9,14,0,59,2T,Normal
